id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.673472,0.673471,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.454137,0.454137,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.415925,0.415925,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.304509,0.304509,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.383297,0.383297,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.405870,0.405870,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.441975,0.441974,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.753710,0.753709,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.272861,0.272861,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.272202,0.272201,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.276853,0.276853,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.177700,0.177700,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.268593,0.268593,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.269181,0.269181,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.268243,0.268242,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.703001,0.703000,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.219835,0.219834,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.204094,0.204094,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.241538,0.241538,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.160228,0.160228,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.229829,0.229828,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.233120,0.233120,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.237867,0.237867,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.693285,0.693285,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.216298,0.216298,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.225305,0.225304,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.216156,0.216156,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.148028,0.148028,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.211893,0.211893,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.217868,0.217867,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.222444,0.222444,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.596820,0.596820,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.190724,0.190724,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.190049,0.190049,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.196220,0.196220,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.145533,0.145533,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.191513,0.191513,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.216750,0.216749,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.220749,0.220748,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.631210,0.631209,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.192648,0.192648,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.205483,0.205483,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.203791,0.203791,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.156817,0.156817,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.208181,0.208181,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.206430,0.206430,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.217769,0.217769,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.622802,0.622802,0.000000,0.000000,0.000000
