id, frame, height, width, #workgroup, totalTime, workTime, masterTime, start, end
0,0,30,60,1,0.022297,0.022297,17247.640163,0.000000,17247.640163
1,1,30,60,1,0.023034,0.023034,0.023196,17247.640171,17247.663368
2,2,30,60,1,0.020678,0.020678,0.020823,17247.663390,17247.684213
3,3,30,60,1,0.008956,0.008956,0.013895,17247.684218,17247.698113
4,4,30,60,1,0.017917,0.017917,0.021092,17247.698131,17247.719223
5,5,30,60,1,0.022419,0.022419,0.022610,17247.719230,17247.741840
6,6,30,60,1,0.022174,0.022173,0.023524,17247.741846,17247.765370
7,7,30,60,1,0.022750,0.022749,0.030347,17247.765378,17247.795725
8,8,30,60,1,0.012310,0.012310,0.021692,17247.795730,17247.817422
9,9,30,60,1,0.002114,0.002114,0.010638,17247.817428,17247.828066
10,10,30,60,1,0.001842,0.001842,0.004032,17247.828072,17247.832103
11,11,30,60,1,0.002330,0.002330,0.002366,17247.832107,17247.834473
12,12,30,60,1,0.002089,0.002089,0.006708,17247.834478,17247.841186
13,13,30,60,1,0.001766,0.001766,0.001848,17247.841191,17247.843039
14,14,30,60,1,0.002031,0.002031,0.010189,17247.843043,17247.853232
15,15,30,60,1,0.002120,0.002120,0.002526,17247.853239,17247.855764
16,16,30,60,1,0.002064,0.002064,0.002819,17247.855770,17247.858589
17,17,30,60,1,0.001343,0.001343,0.001374,17247.858604,17247.859977
18,18,30,60,1,0.002094,0.002094,0.002155,17247.859983,17247.862138
19,19,30,60,1,0.001899,0.001899,0.001931,17247.862142,17247.864073
20,20,30,60,1,0.011827,0.011827,0.021007,17247.864078,17247.885085
21,21,30,60,1,0.001376,0.001376,0.001419,17247.885090,17247.886508
22,22,30,60,1,0.002088,0.002088,0.002118,17247.886513,17247.888631
23,23,30,60,1,0.002068,0.002068,0.002095,17247.888636,17247.890731
24,24,30,60,1,0.002090,0.002090,0.002119,17247.890735,17247.892854
25,25,30,60,1,0.002058,0.002058,0.002082,17247.892861,17247.894943
26,26,30,60,1,0.002084,0.002084,0.002108,17247.894947,17247.897055
27,27,30,60,1,0.002080,0.002080,0.002105,17247.897059,17247.899165
28,28,30,60,1,0.002093,0.002093,0.002123,17247.899169,17247.901292
29,29,30,60,1,0.004352,0.004352,0.010757,17247.901297,17247.912055
30,30,30,60,1,0.001958,0.001958,0.001993,17247.912060,17247.914053
31,31,30,60,1,0.002065,0.002065,0.002091,17247.914059,17247.916150
32,32,30,60,1,0.002079,0.002079,0.002105,17247.916154,17247.918258
