i,g,rr,ee,f,dddddddd,dddddsss,ffdfdfdfdfd,dsssdddd,qsssssssssss
0,0,30,60,1,0.018745,0.018745,6467.560939,0.000000, 6467.560939
1,1,30,60,1,0.021451,0.021451,0.021562,6467.560946, 6467.582507
2,2,30,60,1,0.007717,0.007717,0.007815,6467.582516, 6467.590331
3,3,30,60,1,0.025479,0.025479,0.025594,6467.590337, 6467.615932
4,4,30,60,1,0.016220,0.016220,0.022136,6467.615937, 6467.638073
5,5,30,60,1,0.014488,0.014488,0.021782,6467.638078, 6467.659860
6,6,30,60,1,0.012239,0.012239,0.019276,6467.659866, 6467.679142
7,7,30,60,1,0.011379,0.011379,0.036908,6467.679146, 6467.716054
8,8,30,60,1,0.023636,0.023635,0.026267,6467.716059, 6467.742326
9,9,30,60,1,0.009470,0.009470,0.021529,6467.742585, 6467.764114
10,10,30,60,1,0.019778,0.019778,0.032463,6467.764130, 6467.796593
11,11,30,60,1,0.006714,0.006713,0.016607,6467.796601, 6467.813208
12,12,30,60,1,0.004419,0.004419,0.010387,6467.813215, 6467.823602
13,13,30,60,1,0.017020,0.017020,0.017996,6467.823606, 6467.841602
14,14,30,60,1,0.003984,0.003982,0.005149,6467.841606, 6467.846755
15,15,30,60,1,0.004010,0.004010,0.019487,6467.846759, 6467.866246
16,16,30,60,1,0.002958,0.002958,0.006883,6467.866424, 6467.873307
17,17,30,60,1,0.017854,0.017854,0.018090,6467.873325, 6467.891415
18,18,30,60,1,0.032407,0.032407,0.033214,6467.891646, 6467.924860
19,19,30,60,1,0.014552,0.014551,0.014945,6467.929622, 6467.944567
20,20,30,60,1,0.018245,0.018245,0.022767,6467.949837, 6467.972604
21,21,30,60,1,0.008460,0.008460,0.011287,6467.972805, 6467.984093
22,22,30,60,1,0.014820,0.014820,0.015813,6467.984098, 6467.999910
23,23,30,60,1,0.006198,0.006197,0.008358,6467.999915, 6468.008273
24,24,30,60,1,0.004434,0.004433,0.006760,6468.008278, 6468.015038
25,25,30,60,1,0.000789,0.000788,0.001667,6468.015043, 6468.016710
26,26,30,60,1,0.011747,0.011747,0.012758,6468.016714, 6468.029472
27,27,30,60,1,0.000816,0.000816,0.007011,6468.047888, 6468.054899
28,28,30,60,1,0.015072,0.015071,0.016331,6468.054904, 6468.071235
29,29,30,60,1,0.012162,0.012162,0.022522,6468.071240, 6468.093763
30,30,30,60,1,0.007228,0.007227,0.009523,6468.093800, 6468.103322
31,31,30,60,1,0.008033,0.008033,0.009362,6468.103417, 6468.112779
32,32,30,60,1,0.010860,0.010860,0.014324,6468.112785, 6468.127109
